num_bikes_disabled,num_scooters_available,num_docks_available,num_docks_disabled,is_installed,is_renting,num_bikes_available,num_scooters_unavailable,num_ebikes_available,station_id,is_returning,time_reported,n_classic,n_electric,n_scooters,time_retrieved,name,lat,lon,capacity,community,is_no_classic,is_no_docks,is_problem_station,is_public_rack
0,0.0,2,0,1,1,9,0.0,2,a3b10a40-a135-11e9-9cda-0a87ae2ba916,1,11/17/2023 10:07 AM,7,2,0,11/17/2023 10:09 AM,Pulaski Rd & Lake St,41.885409,-87.726491,11,WEST GARFIELD PARK,False,False,False,False
0,0.0,2,0,1,1,9,0.0,1,a3b10a40-a135-11e9-9cda-0a87ae2ba916,1,11/17/2023 11:04 AM,8,1,0,11/17/2023 11:05 AM,Pulaski Rd & Lake St,41.885409,-87.726491,11,WEST GARFIELD PARK,False,False,False,False
0,0.0,3,0,1,1,8,0.0,1,a3b10a40-a135-11e9-9cda-0a87ae2ba916,1,11/17/2023 11:05 PM,7,1,0,11/17/2023 11:05 PM,Pulaski Rd & Lake St,41.885409,-87.726491,11,WEST GARFIELD PARK,False,False,False,False
0,0.0,2,0,1,1,9,0.0,1,a3b10a40-a135-11e9-9cda-0a87ae2ba916,1,11/17/2023 12:08 PM,8,1,0,11/17/2023 12:08 PM,Pulaski Rd & Lake St,41.885409,-87.726491,11,WEST GARFIELD PARK,False,False,False,False
0,0.0,2,0,1,1,9,0.0,2,a3b10a40-a135-11e9-9cda-0a87ae2ba916,1,11/17/2023 12:09 AM,7,2,0,11/17/2023 12:09 AM,Pulaski Rd & Lake St,41.885409,-87.726491,11,WEST GARFIELD PARK,False,False,False,False
0,0.0,6,0,1,1,14,1.0,1,a3a3b731-a135-11e9-9cda-0a87ae2ba916,1,11/17/2023 01:02 PM,13,1,0,11/17/2023 01:04 PM,Honore St & Division St,41.903119,-87.673935,23,WEST TOWN,False,False,False,False
0,0.0,8,0,1,1,13,0.0,0,a3a3b731-a135-11e9-9cda-0a87ae2ba916,1,11/17/2023 01:04 AM,13,0,0,11/17/2023 01:05 AM,Honore St & Division St,41.903119,-87.673935,23,WEST TOWN,False,False,False,False
0,0.0,8,0,1,1,12,1.0,0,a3a3b731-a135-11e9-9cda-0a87ae2ba916,1,11/17/2023 02:04 PM,12,0,0,11/17/2023 02:06 PM,Honore St & Division St,41.903119,-87.673935,23,WEST TOWN,False,False,False,False
0,0.0,8,0,1,1,13,0.0,0,a3a3b731-a135-11e9-9cda-0a87ae2ba916,1,11/17/2023 02:07 AM,13,0,0,11/17/2023 02:07 AM,Honore St & Division St,41.903119,-87.673935,23,WEST TOWN,False,False,False,False
0,0.0,7,0,1,1,13,1.0,1,a3a3b731-a135-11e9-9cda-0a87ae2ba916,1,11/17/2023 03:03 PM,12,1,0,11/17/2023 03:05 PM,Honore St & Division St,41.903119,-87.673935,23,WEST TOWN,False,False,False,False
0,0.0,8,0,1,1,13,0.0,0,a3a3b731-a135-11e9-9cda-0a87ae2ba916,1,11/17/2023 03:04 AM,13,0,0,11/17/2023 03:06 AM,Honore St & Division St,41.903119,-87.673935,23,WEST TOWN,False,False,False,False
0,0.0,8,0,1,1,13,0.0,0,a3a3b731-a135-11e9-9cda-0a87ae2ba916,1,11/17/2023 04:05 AM,13,0,0,11/17/2023 04:06 AM,Honore St & Division St,41.903119,-87.673935,23,WEST TOWN,False,False,False,False
0,0.0,2,0,1,1,18,1.0,0,a3a3b731-a135-11e9-9cda-0a87ae2ba916,1,11/17/2023 04:05 PM,18,0,0,11/17/2023 04:06 PM,Honore St & Division St,41.903119,-87.673935,23,WEST TOWN,False,False,False,False
0,0.0,8,0,1,1,13,0.0,0,a3a3b731-a135-11e9-9cda-0a87ae2ba916,1,11/17/2023 05:03 AM,13,0,0,11/17/2023 05:05 AM,Honore St & Division St,41.903119,-87.673935,23,WEST TOWN,False,False,False,False
0,0.0,4,0,1,1,16,1.0,1,a3a3b731-a135-11e9-9cda-0a87ae2ba916,1,11/17/2023 05:04 PM,15,1,0,11/17/2023 05:05 PM,Honore St & Division St,41.903119,-87.673935,23,WEST TOWN,False,False,False,False
