station_id,name,capacity,lat,lon,no_classic_count,no_docks_count,problem_count,total_count,pct_no_classic,pct_no_docks,pct_problem,bin_no_classic,bin_no_docks,bin_problem
a3b11993-a135-11e9-9cda-0a87ae2ba916,Central Ave & Lake St,11,41.887664,-87.765469,0,0,0,10,0.0,0.0,0.0,0% to 9%,0% to 9%,0% to 9%
a3b11ea4-a135-11e9-9cda-0a87ae2ba916,Austin Blvd & Lake St,11,41.88794379427211,-87.77427345514297,0,0,0,10,0.0,0.0,0.0,0% to 9%,0% to 9%,0% to 9%
a3b123c5-a135-11e9-9cda-0a87ae2ba916,Central Park Blvd & 5th Ave,11,41.875679,-87.71547,0,0,0,10,0.0,0.0,0.0,0% to 9%,0% to 9%,0% to 9%
a3b128de-a135-11e9-9cda-0a87ae2ba916,Karlov Ave & Madison St,11,41.88085,-87.727907,0,0,0,10,0.0,0.0,0.0,0% to 9%,0% to 9%,0% to 9%
a3b12dfb-a135-11e9-9cda-0a87ae2ba916,Pulaski Rd & Congress Pkwy,11,41.87441021003816,-87.72609159350395,0,0,0,10,0.0,0.0,0.0,0% to 9%,0% to 9%,0% to 9%
a3b1330c-a135-11e9-9cda-0a87ae2ba916,Kostner Ave & Lake St,11,41.885928,-87.73541,0,0,0,10,0.0,0.0,0.0,0% to 9%,0% to 9%,0% to 9%
a3b13836-a135-11e9-9cda-0a87ae2ba916,Kenton Ave & Madison St,11,41.880708,-87.741018,0,0,0,10,0.0,0.0,0.0,0% to 9%,0% to 9%,0% to 9%
a3b13e66-a135-11e9-9cda-0a87ae2ba916,Cicero Ave & Flournoy St,11,41.872131,-87.746619,0,0,0,10,0.0,0.0,0.0,0% to 9%,0% to 9%,0% to 9%
a3b143aa-a135-11e9-9cda-0a87ae2ba916,Cicero Ave & Quincy St,11,41.877613,-87.745405,0,0,0,10,0.0,0.0,0.0,0% to 9%,0% to 9%,0% to 9%
a3b148bf-a135-11e9-9cda-0a87ae2ba916,Laramie Ave & Madison St,11,41.880207,-87.755337,0,0,0,10,0.0,0.0,0.0,0% to 9%,0% to 9%,0% to 9%
a3b1c47b-a135-11e9-9cda-0a87ae2ba916,Central Ave & Harrison St,11,41.872993,-87.764499,0,0,0,10,0.0,0.0,0.0,0% to 9%,0% to 9%,0% to 9%
a3b1ca28-a135-11e9-9cda-0a87ae2ba916,Central Ave & Madison St,11,41.880121,-87.763238,0,0,0,10,0.0,0.0,0.0,0% to 9%,0% to 9%,0% to 9%
a3b1cf80-a135-11e9-9cda-0a87ae2ba916,Laramie Ave & Gladys Ave,11,41.875806,-87.755285,0,0,0,10,0.0,0.0,0.0,0% to 9%,0% to 9%,0% to 9%
a3b1d532-a135-11e9-9cda-0a87ae2ba916,Austin Blvd & Madison St,11,41.880281,-87.774453,10,0,10,10,100.0,0.0,100.0,90% to 100%,0% to 9%,90% to 100%
a3b1db23-a135-11e9-9cda-0a87ae2ba916,Kostner Ave & Adams St,11,41.877917,-87.735737,0,0,0,10,0.0,0.0,0.0,0% to 9%,0% to 9%,0% to 9%
a3b1e065-a135-11e9-9cda-0a87ae2ba916,Damen Ave & Pershing Rd,11,41.823192,-87.676597,0,0,0,10,0.0,0.0,0.0,0% to 9%,0% to 9%,0% to 9%
a3b1e588-a135-11e9-9cda-0a87ae2ba916,Ashland Ave & Pershing Rd,11,41.823465,-87.665577,0,10,10,10,0.0,100.0,100.0,0% to 9%,90% to 100%,90% to 100%
a3b1eaa7-a135-11e9-9cda-0a87ae2ba916,Morgan St & Pershing Rd,7,41.823613,-87.650931,10,0,10,10,100.0,0.0,100.0,90% to 100%,0% to 9%,90% to 100%
a3b1efd6-a135-11e9-9cda-0a87ae2ba916,Marshfield Ave & 44th St,11,41.813996,-87.666589,0,0,0,10,0.0,0.0,0.0,0% to 9%,0% to 9%,0% to 9%
a3b1f4fb-a135-11e9-9cda-0a87ae2ba916,Central Ave & Chicago Ave,11,41.894958,-87.764902,0,0,0,10,0.0,0.0,0.0,0% to 9%,0% to 9%,0% to 9%
a3b1fa1c-a135-11e9-9cda-0a87ae2ba916,Hoyne Ave & 47th St,11,41.808227,-87.67718,0,0,0,10,0.0,0.0,0.0,0% to 9%,0% to 9%,0% to 9%
a3b1ff34-a135-11e9-9cda-0a87ae2ba916,Ashland Ave & McDowell Ave,11,41.80887,-87.66454,0,0,0,10,0.0,0.0,0.0,0% to 9%,0% to 9%,0% to 9%
a3b2044b-a135-11e9-9cda-0a87ae2ba916,Elizabeth St & 47th St,11,41.80839,-87.656526,0,0,0,10,0.0,0.0,0.0,0% to 9%,0% to 9%,0% to 9%
a3b20960-a135-11e9-9cda-0a87ae2ba916,Damen Ave & 51st St,7,41.800908,-87.674684,10,0,10,10,100.0,0.0,100.0,90% to 100%,0% to 9%,90% to 100%
a3b20e8a-a135-11e9-9cda-0a87ae2ba916,Ashland Ave & 50th St,11,41.803023,-87.664699,0,0,0,10,0.0,0.0,0.0,0% to 9%,0% to 9%,0% to 9%
a3b213af-a135-11e9-9cda-0a87ae2ba916,Throop St & 52nd St,7,41.799659,-87.657195,0,0,0,10,0.0,0.0,0.0,0% to 9%,0% to 9%,0% to 9%
a3b218cd-a135-11e9-9cda-0a87ae2ba916,Seeley Ave & Garfield Blvd,11,41.794087,-87.675478,0,0,0,10,0.0,0.0,0.0,0% to 9%,0% to 9%,0% to 9%
a3b21de7-a135-11e9-9cda-0a87ae2ba916,Ashland Ave & Garfield Blvd,11,41.792822,-87.664429,10,0,10,10,100.0,0.0,100.0,90% to 100%,0% to 9%,90% to 100%
a3b222fc-a135-11e9-9cda-0a87ae2ba916,Racine Ave & Garfield Blvd,11,41.794228,-87.655073,0,0,0,10,0.0,0.0,0.0,0% to 9%,0% to 9%,0% to 9%
a3b22815-a135-11e9-9cda-0a87ae2ba916,Marshfield Ave & 59th St,11,41.786833,-87.666215,0,0,0,10,0.0,0.0,0.0,0% to 9%,0% to 9%,0% to 9%
a3b22d3d-a135-11e9-9cda-0a87ae2ba916,Damen Ave & 59th St,11,41.785861065132,-87.67414391040802,0,0,0,10,0.0,0.0,0.0,0% to 9%,0% to 9%,0% to 9%
a3b23263-a135-11e9-9cda-0a87ae2ba916,Racine Ave & 61st St,11,41.783189,-87.654372,0,0,0,10,0.0,0.0,0.0,0% to 9%,0% to 9%,0% to 9%
a3b23785-a135-11e9-9cda-0a87ae2ba916,Ashland Ave & 63rd St,11,41.779374,-87.664843,0,0,0,10,0.0,0.0,0.0,0% to 9%,0% to 9%,0% to 9%
a3b23cb8-a135-11e9-9cda-0a87ae2ba916,Racine Ave & 65th St,11,41.775393,-87.654308,0,0,0,10,0.0,0.0,0.0,0% to 9%,0% to 9%,0% to 9%
a3b241df-a135-11e9-9cda-0a87ae2ba916,Ashland Ave & 66th St,7,41.774074,-87.663815,0,0,0,10,0.0,0.0,0.0,0% to 9%,0% to 9%,0% to 9%
a3b24701-a135-11e9-9cda-0a87ae2ba916,Damen Ave & 74th St,11,41.75927403933122,-87.67363429069519,0,0,0,10,0.0,0.0,0.0,0% to 9%,0% to 9%,0% to 9%
a3b24c1f-a135-11e9-9cda-0a87ae2ba916,May St & 69th St,11,41.768938,-87.652934,0,0,0,10,0.0,0.0,0.0,0% to 9%,0% to 9%,0% to 9%
a3b2513d-a135-11e9-9cda-0a87ae2ba916,Vincennes Ave & 75th St,7,41.75797,-87.63121,0,0,0,10,0.0,0.0,0.0,0% to 9%,0% to 9%,0% to 9%
a3b25656-a135-11e9-9cda-0a87ae2ba916,Woodlawn Ave & 75th St,11,41.75916,-87.595751,0,0,0,10,0.0,0.0,0.0,0% to 9%,0% to 9%,0% to 9%
a3b25b6d-a135-11e9-9cda-0a87ae2ba916,Evans Ave & 75th St,7,41.75849,-87.60641,0,0,0,10,0.0,0.0,0.0,0% to 9%,0% to 9%,0% to 9%
a3b26084-a135-11e9-9cda-0a87ae2ba916,Vernon Ave & 75th St,11,41.758361,-87.614138,0,0,0,10,0.0,0.0,0.0,0% to 9%,0% to 9%,0% to 9%
a3b2659d-a135-11e9-9cda-0a87ae2ba916,State St & 76th St,11,41.756971,-87.624621,0,0,0,10,0.0,0.0,0.0,0% to 9%,0% to 9%,0% to 9%
a3b26acf-a135-11e9-9cda-0a87ae2ba916,State St & 79th St,11,41.750794,-87.624424,0,0,0,10,0.0,0.0,0.0,0% to 9%,0% to 9%,0% to 9%
a3b26fee-a135-11e9-9cda-0a87ae2ba916,Vernon Ave & 79th St,11,41.75094,-87.61379,0,0,0,10,0.0,0.0,0.0,0% to 9%,0% to 9%,0% to 9%
a3b2767f-a135-11e9-9cda-0a87ae2ba916,Cottage Grove Ave & 78th St,11,41.753174,-87.605026,0,0,0,10,0.0,0.0,0.0,0% to 9%,0% to 9%,0% to 9%
a3b27bcf-a135-11e9-9cda-0a87ae2ba916,Greenwood Ave & 79th St,11,41.75132,-87.595982,0,0,0,10,0.0,0.0,0.0,0% to 9%,0% to 9%,0% to 9%
a3b2810e-a135-11e9-9cda-0a87ae2ba916,Stony Island Ave & South Chicago Ave,11,41.751173,-87.585337,0,0,0,10,0.0,0.0,0.0,0% to 9%,0% to 9%,0% to 9%
a3b2862e-a135-11e9-9cda-0a87ae2ba916,Bennett Ave & 79th St,11,41.751785,-87.578496,0,0,0,10,0.0,0.0,0.0,0% to 9%,0% to 9%,0% to 9%
a3b28b4a-a135-11e9-9cda-0a87ae2ba916,Phillips Ave & 79th St,11,41.75182,-87.565211,0,0,0,10,0.0,0.0,0.0,0% to 9%,0% to 9%,0% to 9%
a3b2905a-a135-11e9-9cda-0a87ae2ba916,Exchange Ave & 79th St,11,41.752029,-87.552096,0,0,0,10,0.0,0.0,0.0,0% to 9%,0% to 9%,0% to 9%
a3b2956a-a135-11e9-9cda-0a87ae2ba916,Commercial Ave & 83rd St,11,41.744615,-87.551208,0,0,0,10,0.0,0.0,0.0,0% to 9%,0% to 9%,0% to 9%
a3b29a90-a135-11e9-9cda-0a87ae2ba916,Phillips Ave & 83rd St,11,41.744531,-87.56506,0,0,0,10,0.0,0.0,0.0,0% to 9%,0% to 9%,0% to 9%
a3b29fae-a135-11e9-9cda-0a87ae2ba916,Stony Island Ave & 82nd St,11,41.746559,-87.586005,0,0,0,10,0.0,0.0,0.0,0% to 9%,0% to 9%,0% to 9%
a3b2a4ca-a135-11e9-9cda-0a87ae2ba916,Ellis Ave & 83rd St,11,41.744123,-87.599034,0,0,0,10,0.0,0.0,0.0,0% to 9%,0% to 9%,0% to 9%
a3b2a9e7-a135-11e9-9cda-0a87ae2ba916,Cottage Grove Ave & 83rd St,11,41.743441,-87.604836,0,0,0,10,0.0,0.0,0.0,0% to 9%,0% to 9%,0% to 9%
a3b2af02-a135-11e9-9cda-0a87ae2ba916,MLK Jr Dr & 83rd St,11,41.743116,-87.6148,0,0,0,10,0.0,0.0,0.0,0% to 9%,0% to 9%,0% to 9%
a3b2b419-a135-11e9-9cda-0a87ae2ba916,Wabash Ave & 83rd St,11,41.74335976225324,-87.62284398078917,0,0,0,10,0.0,0.0,0.0,0% to 9%,0% to 9%,0% to 9%
a3b2b92c-a135-11e9-9cda-0a87ae2ba916,South Chicago Ave & 83rd St,11,41.743921,-87.575225,0,0,0,10,0.0,0.0,0.0,0% to 9%,0% to 9%,0% to 9%
a3b2be3a-a135-11e9-9cda-0a87ae2ba916,Milwaukee Ave & Cuyler Ave,11,41.954468,-87.749594,0,2,2,10,0.0,20.0,20.0,0% to 9%,10% to 24%,10% to 24%
a3b2c354-a135-11e9-9cda-0a87ae2ba916,Kilbourn Ave & Irving Park Rd,11,41.953733,-87.740569,0,0,0,10,0.0,0.0,0.0,0% to 9%,0% to 9%,0% to 9%
a3b2c87c-a135-11e9-9cda-0a87ae2ba916,Kilbourn Ave & Milwaukee Ave,15,41.94707089418471,-87.74000823497772,0,0,0,10,0.0,0.0,0.0,0% to 9%,0% to 9%,0% to 9%
a3b2cd97-a135-11e9-9cda-0a87ae2ba916,Knox Ave & Montrose Ave,11,41.960631,-87.745359,2,0,2,10,20.0,0.0,20.0,10% to 24%,0% to 9%,10% to 24%
a3b2d2b7-a135-11e9-9cda-0a87ae2ba916,Halsted St & 59th St,11,41.787539,-87.644874,0,0,0,10,0.0,0.0,0.0,0% to 9%,0% to 9%,0% to 9%
a3b2d7d9-a135-11e9-9cda-0a87ae2ba916,Western Blvd & 48th Pl,11,41.805661,-87.683392,0,9,9,10,0.0,90.0,90.0,0% to 9%,90% to 100%,90% to 100%
a3b2dcf0-a135-11e9-9cda-0a87ae2ba916,Wabash Ave & 87th St,11,41.73655301831962,-87.62264415621758,10,0,10,10,100.0,0.0,100.0,90% to 100%,0% to 9%,90% to 100%
a3b2e20c-a135-11e9-9cda-0a87ae2ba916,Benson Ave & Church St,15,42.048214,-87.683485,0,0,0,10,0.0,0.0,0.0,0% to 9%,0% to 9%,0% to 9%
