station_id,num_bikes_available,num_bikes_disabled,num_docks_available,num_ebikes_available,n_classic,n_electric,n_all_bikes,is_no_classic,is_no_docks,is_problem_station,station_id_len,name,lat,lon,capacity,short_name,is_public_rack
a3a547b8-a135-11e9-9cda-0a87ae2ba916,5,0,10,1,4,1,5,False,False,False,36,63rd St Beach,41.78091096424803,-87.57632374763489,15,15491,False
a3af9a83-a135-11e9-9cda-0a87ae2ba916,13,0,2,0,13,0,13,False,False,False,36,Drake Ave & Montrose Ave,41.96115407569,-87.7165690733,15,KA1504000097,False
a3ac30c5-a135-11e9-9cda-0a87ae2ba916,6,1,8,0,6,0,7,False,False,False,36,Cottage Grove Ave & 51st St,41.803038,-87.606615,15,TA1309000067,False
a3addda0-a135-11e9-9cda-0a87ae2ba916,11,0,0,8,3,8,11,False,True,True,36,Kedzie Ave & 24th St,41.848193,-87.705412,11,KA1504000086,False
a3a3ace6-a135-11e9-9cda-0a87ae2ba916,1,0,13,0,1,0,1,False,False,False,36,Racine Ave & 18th St,41.858166,-87.656495,15,13164,False
a3a5d3bb-a135-11e9-9cda-0a87ae2ba916,5,2,7,3,2,3,7,False,False,False,36,Blue Island Ave & 18th St,41.857556,-87.661535,15,13135,False
a3ad7636-a135-11e9-9cda-0a87ae2ba916,1,0,10,1,0,1,1,True,False,True,36,MLK Jr Dr & 56th St,41.79342945658,-87.6158532619,11,KA1503000073,False
a3af2737-a135-11e9-9cda-0a87ae2ba916,12,0,3,1,11,1,12,False,False,False,36,Clark St & Elmdale Ave,41.990860448125574,-87.66972362995148,15,KA1504000148,False
a3af5d1c-a135-11e9-9cda-0a87ae2ba916,5,2,7,3,2,3,7,False,False,False,36,Western Ave & Lunt Ave,42.0085943972,-87.6904922389,15,RP-005,False
a3aa4017-a135-11e9-9cda-0a87ae2ba916,4,3,8,3,1,3,7,False,False,False,36,Broadway & Waveland Ave,41.949074,-87.648636,15,13325,False
759171ce-f355-4740-948d-e14bb8f7dc0e,4,0,11,0,4,0,4,False,False,False,36,Avenue O & 134th St,41.651799,-87.540696,15,20214,False
da9e6779-5056-4d45-bae3-9dc325ed2807,8,0,3,1,7,1,8,False,False,False,36,Hale Ave & 107th St,41.699206168127674,-87.66891896724701,11,20108,False
a3a59ec3-a135-11e9-9cda-0a87ae2ba916,12,0,5,1,11,1,12,False,False,False,36,Ashland Ave & Lake St,41.88592,-87.66717,19,13073,False
a3a83ba1-a135-11e9-9cda-0a87ae2ba916,4,0,15,2,2,2,4,False,False,False,36,Wood St & Webster Ave,41.92105672992757,-87.67279744148254,19,TA1307000138,False
a3b29fae-a135-11e9-9cda-0a87ae2ba916,1,0,10,0,1,0,1,False,False,False,36,Stony Island Ave & 82nd St,41.746559,-87.586005,11,583,False
a3a75885-a135-11e9-9cda-0a87ae2ba916,2,1,20,0,2,0,3,False,False,False,36,Damen Ave & Thomas St (Augusta Blvd),41.901315,-87.677409,23,TA1307000070,False
e63300bd-4ca3-4255-adfd-522289d68b8a,4,0,11,0,4,0,4,False,False,False,36,Loomis Blvd & 84th St,41.741486528618054,-87.65841007232666,15,20121,False
a3a5a9d0-a135-11e9-9cda-0a87ae2ba916,4,1,14,0,4,0,5,False,False,False,36,Blackstone Ave & Hyde Park Blvd,41.802562,-87.590368,19,13398,False
a3ac35ed-a135-11e9-9cda-0a87ae2ba916,7,1,3,4,3,4,8,False,False,False,36,Jeffery Blvd & 67th St,41.77351755125,-87.5771428255,11,KA1503000030,False
a3a9f76a-a135-11e9-9cda-0a87ae2ba916,9,0,6,4,5,4,9,False,False,False,36,Kedzie Ave & Palmer Ct,41.921525,-87.707322,15,13292,False
a3af8123-a135-11e9-9cda-0a87ae2ba916,6,3,6,0,6,0,9,False,False,False,36,Christiana Ave & Lawrence Ave,41.96835449363,-87.7118306675,15,15615,False
1799277526470631980,9,0,6,3,6,3,9,False,False,False,19,Lincoln Ave & Byron St,41.952372,-87.677296,15,23002,False
f0f9f5dc-3d3f-4a32-aa3e-b87566e44de9,7,1,7,2,5,2,8,False,False,False,36,Prospect Sq & 91st St,41.7282338,-87.6675239,15,20103,False
a3afb401-a135-11e9-9cda-0a87ae2ba916,4,0,11,0,4,0,4,False,False,False,36,Monticello Ave & Irving Park Rd,41.95400483876,-87.7191281797,15,KA1504000139,False
a3b2d2b7-a135-11e9-9cda-0a87ae2ba916,6,0,4,3,3,3,6,False,False,False,36,Halsted St & 59th St,41.787539,-87.644874,11,593,False
a3acea44-a135-11e9-9cda-0a87ae2ba916,4,1,6,0,4,0,5,False,False,False,36,Calumet Ave & 71st St,41.76550800581,-87.616917925,11,15599,False
a3a3e67b-a135-11e9-9cda-0a87ae2ba916,1,2,28,0,1,0,3,False,False,False,36,New St & Illinois St,41.890847040623804,-87.61861681938171,31,TA1306000013,False
a3a76cb6-a135-11e9-9cda-0a87ae2ba916,7,0,8,5,2,5,7,False,False,False,36,Greenview Ave & Fullerton Ave,41.92533,-87.6658,15,TA1307000001,False
a3a9b1d7-a135-11e9-9cda-0a87ae2ba916,6,0,8,0,6,0,6,False,False,False,36,Ashland Ave & Grand Ave,41.891072,-87.666611,15,13434,False
a3a7f0ba-a135-11e9-9cda-0a87ae2ba916,6,0,7,2,4,2,6,False,False,False,36,Damen Ave & Madison St,41.88137,-87.67493,15,13134,False
430d5876-c44d-446e-ac53-065da9fb9c17,6,0,4,2,4,2,6,False,False,False,36,Green St & Randolph St*,41.883601657275165,-87.64862671494483,12,chargingstx3,False
a3af460f-a135-11e9-9cda-0a87ae2ba916,13,4,2,6,7,6,17,False,False,False,36,Clark St & Berwyn Ave,41.978030622486564,-87.66856491565704,19,KA1504000146,False
a3b2c87c-a135-11e9-9cda-0a87ae2ba916,7,0,8,1,6,1,7,False,False,False,36,Kilbourn Ave & Milwaukee Ave,41.94707089418471,-87.74000823497772,15,16994,False
792ceba0-564f-4a2c-bcb5-90da781ffeef,7,3,4,1,6,1,10,False,False,False,36,State St & 95th St,41.7218499,-87.6228544,15,20104,False
a3aa35a4-a135-11e9-9cda-0a87ae2ba916,14,3,12,0,14,0,17,False,False,False,36,Sheffield Ave & Wrightwood Ave,41.928712,-87.653833,31,TA1309000023,False
a3a5700b-a135-11e9-9cda-0a87ae2ba916,0,3,24,0,0,0,3,True,False,True,36,Dearborn St & Erie St,41.893992,-87.629318,27,13045,False
4843d153-c725-4230-a4c7-402da6a62143,5,1,5,2,3,2,6,False,False,False,36,Lincoln Ave & Roscoe St*,41.9433502470174,-87.67066776752472,15,chargingstx5,False
a3afd294-a135-11e9-9cda-0a87ae2ba916,6,1,8,0,6,0,7,False,False,False,36,Troy St & Elston Ave,41.94524356848,-87.7066499009,15,15631,False
1867616662773391950,8,1,6,7,1,7,9,False,False,False,19,Karlov Ave & Armitage Ave,41.91748,-87.728952,15,23190,False
a3a5f5e6-a135-11e9-9cda-0a87ae2ba916,6,0,4,2,4,2,6,False,False,False,36,Halsted St & 21st St,41.85377981072743,-87.6466029882431,11,13162,False
a3a8804b-a135-11e9-9cda-0a87ae2ba916,16,2,1,2,14,2,18,False,False,False,36,Ravenswood Ave & Irving Park Rd,41.95469,-87.67393,19,TA1307000149,False
a3a96aca-a135-11e9-9cda-0a87ae2ba916,9,0,0,7,2,7,9,False,True,True,36,Halsted St & 37th St,41.827059,-87.64572,11,TA1307000161,False
