is_returning,station_id,num_bikes_available,num_docks_available,num_docks_disabled,num_bikes_disabled,last_reported,num_ebikes_available,vehicle_docks_available,is_installed,num_scooters_available,num_scooters_unavailable,vehicle_types_available,is_renting
1,a3a3b202-a135-11e9-9cda-0a87ae2ba916,7,7,0,0,1700155472,1,"[{'count': 7, 'vehicle_type_ids': ['1', '2', '3']}]",1,1.0,0.0,"[{'count': 6, 'vehicle_type_id': '1'}, {'count': 1, 'vehicle_type_id': '2'}, {'count': 1, 'vehicle_type_id': '3'}]",1
1,a3a3f0c6-a135-11e9-9cda-0a87ae2ba916,4,10,0,0,1700155472,1,"[{'count': 10, 'vehicle_type_ids': ['1', '2', '3']}]",1,1.0,0.0,"[{'count': 3, 'vehicle_type_id': '1'}, {'count': 1, 'vehicle_type_id': '2'}, {'count': 1, 'vehicle_type_id': '3'}]",1
1,a3af9a83-a135-11e9-9cda-0a87ae2ba916,13,2,0,0,1700155474,0,"[{'count': 2, 'vehicle_type_ids': ['1', '2']}]",1,0.0,0.0,"[{'count': 13, 'vehicle_type_id': '1'}, {'count': 0, 'vehicle_type_id': '2'}]",1
1,a3a3ace6-a135-11e9-9cda-0a87ae2ba916,0,14,0,0,1700155474,0,"[{'count': 14, 'vehicle_type_ids': ['1', '2', '3']}]",1,1.0,0.0,"[{'count': 0, 'vehicle_type_id': '1'}, {'count': 0, 'vehicle_type_id': '2'}, {'count': 1, 'vehicle_type_id': '3'}]",1
1,a3b222fc-a135-11e9-9cda-0a87ae2ba916,5,4,1,1,1700155471,1,"[{'count': 4, 'vehicle_type_ids': ['1', '2']}]",1,0.0,0.0,"[{'count': 4, 'vehicle_type_id': '1'}, {'count': 1, 'vehicle_type_id': '2'}]",1
1,a3b1c47b-a135-11e9-9cda-0a87ae2ba916,3,7,1,0,1700155471,0,"[{'count': 7, 'vehicle_type_ids': ['1', '2']}]",1,0.0,0.0,"[{'count': 3, 'vehicle_type_id': '1'}, {'count': 0, 'vehicle_type_id': '2'}]",1
1,a3b2862e-a135-11e9-9cda-0a87ae2ba916,4,6,0,1,1700155476,0,"[{'count': 6, 'vehicle_type_ids': ['1', '2']}]",1,0.0,0.0,"[{'count': 4, 'vehicle_type_id': '1'}, {'count': 0, 'vehicle_type_id': '2'}]",1
1,a3b2be3a-a135-11e9-9cda-0a87ae2ba916,9,2,0,0,1700155473,1,"[{'count': 2, 'vehicle_type_ids': ['1', '2']}]",1,0.0,0.0,"[{'count': 8, 'vehicle_type_id': '1'}, {'count': 1, 'vehicle_type_id': '2'}]",1
1,a3a547b8-a135-11e9-9cda-0a87ae2ba916,5,10,0,0,1700155473,1,"[{'count': 10, 'vehicle_type_ids': ['1', '2']}]",1,0.0,0.0,"[{'count': 4, 'vehicle_type_id': '1'}, {'count': 1, 'vehicle_type_id': '2'}]",1
1,a3ac30c5-a135-11e9-9cda-0a87ae2ba916,7,7,0,1,1700155476,1,"[{'count': 7, 'vehicle_type_ids': ['1', '2']}]",1,0.0,0.0,"[{'count': 6, 'vehicle_type_id': '1'}, {'count': 1, 'vehicle_type_id': '2'}]",1
1,a3a965b2-a135-11e9-9cda-0a87ae2ba916,11,2,0,1,1700155482,2,"[{'count': 2, 'vehicle_type_ids': ['1', '2', '3']}]",1,1.0,1.0,"[{'count': 9, 'vehicle_type_id': '1'}, {'count': 2, 'vehicle_type_id': '2'}, {'count': 1, 'vehicle_type_id': '3'}]",1
1,a3a4ac3f-a135-11e9-9cda-0a87ae2ba916,22,2,0,3,1700155482,11,"[{'count': 2, 'vehicle_type_ids': ['1', '2']}]",1,0.0,0.0,"[{'count': 11, 'vehicle_type_id': '1'}, {'count': 11, 'vehicle_type_id': '2'}]",1
1,a3a5d3bb-a135-11e9-9cda-0a87ae2ba916,1,12,0,2,1700155481,0,"[{'count': 12, 'vehicle_type_ids': ['1', '2', '3']}]",1,0.0,0.0,"[{'count': 1, 'vehicle_type_id': '1'}, {'count': 0, 'vehicle_type_id': '2'}, {'count': 0, 'vehicle_type_id': '3'}]",1
1,a3ad7636-a135-11e9-9cda-0a87ae2ba916,1,10,0,0,1700155483,1,"[{'count': 10, 'vehicle_type_ids': ['1', '2']}]",1,0.0,0.0,"[{'count': 0, 'vehicle_type_id': '1'}, {'count': 1, 'vehicle_type_id': '2'}]",1
1,ff21c158-de98-46c6-9ef7-7082bdb7c634,13,2,0,0,1700155484,11,"[{'count': 2, 'vehicle_type_ids': ['1', '2']}]",1,0.0,0.0,"[{'count': 2, 'vehicle_type_id': '1'}, {'count': 11, 'vehicle_type_id': '2'}]",1
1,a3af5d1c-a135-11e9-9cda-0a87ae2ba916,4,8,0,2,1700155480,2,"[{'count': 8, 'vehicle_type_ids': ['1', '2']}]",1,0.0,0.0,"[{'count': 2, 'vehicle_type_id': '1'}, {'count': 2, 'vehicle_type_id': '2'}]",1
1,a3b2d7d9-a135-11e9-9cda-0a87ae2ba916,7,2,0,2,1700155478,0,"[{'count': 2, 'vehicle_type_ids': ['1', '2']}]",1,0.0,0.0,"[{'count': 7, 'vehicle_type_id': '1'}, {'count': 0, 'vehicle_type_id': '2'}]",1
1,a3addda0-a135-11e9-9cda-0a87ae2ba916,11,0,0,0,1700155479,8,"[{'count': 0, 'vehicle_type_ids': ['1', '2']}]",1,0.0,0.0,"[{'count': 3, 'vehicle_type_id': '1'}, {'count': 8, 'vehicle_type_id': '2'}]",1
1,a3aa4017-a135-11e9-9cda-0a87ae2ba916,3,8,0,4,1700155480,3,"[{'count': 8, 'vehicle_type_ids': ['1', '2']}]",1,0.0,0.0,"[{'count': 0, 'vehicle_type_id': '1'}, {'count': 3, 'vehicle_type_id': '2'}]",1
1,759171ce-f355-4740-948d-e14bb8f7dc0e,4,11,0,0,1700155487,0,"[{'count': 11, 'vehicle_type_ids': ['1', '2']}]",1,0.0,0.0,"[{'count': 4, 'vehicle_type_id': '1'}, {'count': 0, 'vehicle_type_id': '2'}]",1
1,a3b22d3d-a135-11e9-9cda-0a87ae2ba916,3,8,0,0,1700155490,0,"[{'count': 8, 'vehicle_type_ids': ['1', '2']}]",1,0.0,0.0,"[{'count': 3, 'vehicle_type_id': '1'}, {'count': 0, 'vehicle_type_id': '2'}]",1
1,a3a83ba1-a135-11e9-9cda-0a87ae2ba916,4,15,0,0,1700155490,2,"[{'count': 15, 'vehicle_type_ids': ['1', '2']}]",1,0.0,0.0,"[{'count': 2, 'vehicle_type_id': '1'}, {'count': 2, 'vehicle_type_id': '2'}]",1
1,a3ac3b03-a135-11e9-9cda-0a87ae2ba916,11,4,0,0,1700155487,1,"[{'count': 4, 'vehicle_type_ids': ['1', '2']}]",1,0.0,0.0,"[{'count': 10, 'vehicle_type_id': '1'}, {'count': 1, 'vehicle_type_id': '2'}]",1
1,e63300bd-4ca3-4255-adfd-522289d68b8a,4,11,0,0,1700155497,0,"[{'count': 11, 'vehicle_type_ids': ['1', '2']}]",1,0.0,0.0,"[{'count': 4, 'vehicle_type_id': '1'}, {'count': 0, 'vehicle_type_id': '2'}]",1
1,a3a75885-a135-11e9-9cda-0a87ae2ba916,1,21,0,1,1700155497,0,"[{'count': 21, 'vehicle_type_ids': ['1', '2', '3']}]",1,0.0,0.0,"[{'count': 1, 'vehicle_type_id': '1'}, {'count': 0, 'vehicle_type_id': '2'}, {'count': 0, 'vehicle_type_id': '3'}]",1
1,a3a5a9d0-a135-11e9-9cda-0a87ae2ba916,8,10,0,1,1700155497,1,"[{'count': 10, 'vehicle_type_ids': ['1', '2']}]",1,0.0,0.0,"[{'count': 7, 'vehicle_type_id': '1'}, {'count': 1, 'vehicle_type_id': '2'}]",1
1,a3ad95a7-a135-11e9-9cda-0a87ae2ba916,14,0,0,1,1700155495,4,"[{'count': 0, 'vehicle_type_ids': ['1', '2']}]",1,0.0,0.0,"[{'count': 10, 'vehicle_type_id': '1'}, {'count': 4, 'vehicle_type_id': '2'}]",1
1,a3b29fae-a135-11e9-9cda-0a87ae2ba916,1,10,0,0,1700155496,0,"[{'count': 10, 'vehicle_type_ids': ['1', '2']}]",1,0.0,0.0,"[{'count': 1, 'vehicle_type_id': '1'}, {'count': 0, 'vehicle_type_id': '2'}]",1
1,a3a59ec3-a135-11e9-9cda-0a87ae2ba916,16,1,0,0,1700155491,5,"[{'count': 1, 'vehicle_type_ids': ['1', '2', '3']}]",1,2.0,0.0,"[{'count': 11, 'vehicle_type_id': '1'}, {'count': 5, 'vehicle_type_id': '2'}, {'count': 2, 'vehicle_type_id': '3'}]",1
1,a3a9f76a-a135-11e9-9cda-0a87ae2ba916,9,6,0,0,1700155494,4,"[{'count': 6, 'vehicle_type_ids': ['1', '2']}]",1,0.0,0.0,"[{'count': 5, 'vehicle_type_id': '1'}, {'count': 4, 'vehicle_type_id': '2'}]",1
1,a3ac35ed-a135-11e9-9cda-0a87ae2ba916,7,3,0,1,1700155494,4,"[{'count': 3, 'vehicle_type_ids': ['1', '2']}]",1,0.0,0.0,"[{'count': 3, 'vehicle_type_id': '1'}, {'count': 4, 'vehicle_type_id': '2'}]",1
