station_id,is_installed,is_returning,num_docks_available,is_renting,num_ebikes_available,num_docks_disabled,num_bikes_disabled,num_bikes_available,num_scooters_available,num_scooters_unavailable,timestamp,n_classic,n_electric,n_scooters
1963672425916463636,0,0,0,0,0,0,0,0,,,01/01/1970 06:00 PM,0,0,0
1963671811736140038,1,0,0,0,0,0,0,0,,,01/01/1970 06:00 PM,0,0,0
1931696364106218226,1,1,9,1,0,0,2,4,0.0,0.0,06/29/2024 12:07 AM,4,0,0
1943244520961310788,1,1,10,1,3,0,0,4,1.0,0.0,06/29/2024 12:08 AM,1,3,0
f0f9f5dc-3d3f-4a32-aa3e-b87566e44de9,1,1,9,1,2,0,0,6,0.0,0.0,06/29/2024 12:08 AM,4,2,0
a3a9f76a-a135-11e9-9cda-0a87ae2ba916,1,1,11,1,2,0,0,4,0.0,0.0,06/29/2024 12:08 AM,2,2,0
a3af2737-a135-11e9-9cda-0a87ae2ba916,1,1,2,1,9,0,1,11,1.0,0.0,06/29/2024 12:08 AM,2,9,0
a3a5a9d0-a135-11e9-9cda-0a87ae2ba916,1,1,8,1,6,0,2,9,0.0,0.0,06/29/2024 12:08 AM,3,6,0
a3a8804b-a135-11e9-9cda-0a87ae2ba916,1,1,4,1,7,0,6,7,0.0,0.0,06/29/2024 12:08 AM,0,7,0
a60781db-2bec-4a15-a4a2-363297aefcec,1,1,6,1,0,0,0,9,0.0,0.0,06/29/2024 12:08 AM,9,0,0
a3a795d7-a135-11e9-9cda-0a87ae2ba916,1,1,14,1,0,0,0,3,0.0,2.0,06/29/2024 12:08 AM,3,0,0
1862806445904101456,1,1,29,1,0,0,7,3,0.0,0.0,06/29/2024 12:08 AM,3,0,0
a3ac7e9a-a135-11e9-9cda-0a87ae2ba916,1,1,2,1,3,0,1,9,2.0,1.0,06/29/2024 12:08 AM,6,3,2
a3b29fae-a135-11e9-9cda-0a87ae2ba916,1,1,6,1,1,0,1,4,0.0,0.0,06/29/2024 12:08 AM,3,1,0
