vehicle_docks_available,num_bikes_disabled,num_scooters_available,num_docks_available,num_docks_disabled,is_installed,is_renting,last_reported,num_bikes_available,num_scooters_unavailable,vehicle_types_available,num_ebikes_available,station_id,is_returning
"[{'vehicle_type_ids': ['1', '2', '3'], 'count': 12}]",0,0.0,12,0,1,1,1700170557,7,0.0,"[{'count': 7, 'vehicle_type_id': '1'}, {'count': 0, 'vehicle_type_id': '2'}, {'count': 0, 'vehicle_type_id': '3'}]",0,a3a62aad-a135-11e9-9cda-0a87ae2ba916,1
"[{'vehicle_type_ids': ['1', '2'], 'count': 7}]",0,0.0,7,0,1,1,1700170553,8,0.0,"[{'count': 4, 'vehicle_type_id': '1'}, {'count': 4, 'vehicle_type_id': '2'}]",4,a3b477ac-a135-11e9-9cda-0a87ae2ba916,1
"[{'vehicle_type_ids': ['1', '2'], 'count': 4}]",1,0.0,4,1,1,1,1700170561,5,0.0,"[{'count': 4, 'vehicle_type_id': '1'}, {'count': 1, 'vehicle_type_id': '2'}]",1,a3b222fc-a135-11e9-9cda-0a87ae2ba916,1
"[{'vehicle_type_ids': ['1', '2'], 'count': 12}]",6,0.0,12,0,1,1,1700170559,29,0.0,"[{'count': 18, 'vehicle_type_id': '1'}, {'count': 11, 'vehicle_type_id': '2'}]",11,a3ab9119-a135-11e9-9cda-0a87ae2ba916,1
"[{'vehicle_type_ids': ['1', '2'], 'count': 10}]",0,0.0,10,0,1,1,1700170565,5,0.0,"[{'count': 4, 'vehicle_type_id': '1'}, {'count': 1, 'vehicle_type_id': '2'}]",1,a3a547b8-a135-11e9-9cda-0a87ae2ba916,1
"[{'vehicle_type_ids': ['1', '2'], 'count': 7}]",1,0.0,7,0,1,1,1700170566,7,0.0,"[{'count': 7, 'vehicle_type_id': '1'}, {'count': 0, 'vehicle_type_id': '2'}]",0,a3ac30c5-a135-11e9-9cda-0a87ae2ba916,1
"[{'vehicle_type_ids': ['1', '2'], 'count': 0}]",0,0.0,0,0,1,1,1700170567,15,0.0,"[{'count': 15, 'vehicle_type_id': '1'}, {'count': 0, 'vehicle_type_id': '2'}]",0,a3af9a83-a135-11e9-9cda-0a87ae2ba916,1
"[{'vehicle_type_ids': ['1', '2'], 'count': 1}]",0,0.0,1,0,1,1,1700170565,10,0.0,"[{'count': 9, 'vehicle_type_id': '1'}, {'count': 1, 'vehicle_type_id': '2'}]",1,a3b2be3a-a135-11e9-9cda-0a87ae2ba916,1
"[{'vehicle_type_ids': ['1', '2'], 'count': 6}]",1,0.0,6,0,1,1,1700170567,4,0.0,"[{'count': 4, 'vehicle_type_id': '1'}, {'count': 0, 'vehicle_type_id': '2'}]",0,a3b2862e-a135-11e9-9cda-0a87ae2ba916,1
"[{'vehicle_type_ids': ['1', '2', '3'], 'count': 13}]",0,1.0,13,0,1,1,1700170567,1,0.0,"[{'count': 1, 'vehicle_type_id': '1'}, {'count': 0, 'vehicle_type_id': '2'}, {'count': 1, 'vehicle_type_id': '3'}]",0,a3a3ace6-a135-11e9-9cda-0a87ae2ba916,1
"[{'vehicle_type_ids': ['1', '2'], 'count': 10}]",0,0.0,10,0,1,1,1700170575,1,0.0,"[{'count': 0, 'vehicle_type_id': '1'}, {'count': 1, 'vehicle_type_id': '2'}]",1,a3ad7636-a135-11e9-9cda-0a87ae2ba916,1
"[{'vehicle_type_ids': ['1', '2', '3'], 'count': 7}]",0,1.0,7,0,1,1,1700170575,7,0.0,"[{'count': 6, 'vehicle_type_id': '1'}, {'count': 1, 'vehicle_type_id': '2'}, {'count': 1, 'vehicle_type_id': '3'}]",1,a3a965b2-a135-11e9-9cda-0a87ae2ba916,1
"[{'vehicle_type_ids': ['1', '2'], 'count': 11}]",0,0.0,11,0,1,1,1700170579,4,0.0,"[{'count': 4, 'vehicle_type_id': '1'}, {'count': 0, 'vehicle_type_id': '2'}]",0,759171ce-f355-4740-948d-e14bb8f7dc0e,1
"[{'vehicle_type_ids': ['1', '2'], 'count': 4}]",0,0.0,4,0,1,1,1700170577,11,0.0,"[{'count': 10, 'vehicle_type_id': '1'}, {'count': 1, 'vehicle_type_id': '2'}]",1,a3ac3b03-a135-11e9-9cda-0a87ae2ba916,1
"[{'vehicle_type_ids': ['1', '2'], 'count': 8}]",0,0.0,8,0,1,1,1700170581,3,0.0,"[{'count': 3, 'vehicle_type_id': '1'}, {'count': 0, 'vehicle_type_id': '2'}]",0,a3b22d3d-a135-11e9-9cda-0a87ae2ba916,1
"[{'vehicle_type_ids': ['1', '2'], 'count': 10}]",3,0.0,10,0,1,1,1700170580,2,0.0,"[{'count': 1, 'vehicle_type_id': '1'}, {'count': 1, 'vehicle_type_id': '2'}]",1,a3aa4017-a135-11e9-9cda-0a87ae2ba916,1
"[{'vehicle_type_ids': ['1', '2', '3'], 'count': 17}]",0,1.0,17,0,1,1,1700170591,8,0.0,"[{'count': 6, 'vehicle_type_id': '1'}, {'count': 2, 'vehicle_type_id': '2'}, {'count': 0, 'vehicle_type_id': '3'}]",2,a3a79adb-a135-11e9-9cda-0a87ae2ba916,1
"[{'vehicle_type_ids': ['1', '2', '3'], 'count': 9}]",0,1.0,9,0,1,1,1700170590,5,0.0,"[{'count': 4, 'vehicle_type_id': '1'}, {'count': 1, 'vehicle_type_id': '2'}, {'count': 1, 'vehicle_type_id': '3'}]",1,a3a3b202-a135-11e9-9cda-0a87ae2ba916,1
"[{'vehicle_type_ids': ['1', '2', '3'], 'count': 20}]",1,0.0,20,0,1,1,1700170593,2,0.0,"[{'count': 2, 'vehicle_type_id': '1'}, {'count': 0, 'vehicle_type_id': '2'}, {'count': 0, 'vehicle_type_id': '3'}]",0,a3a75885-a135-11e9-9cda-0a87ae2ba916,1
