Capacity,Station Type,Lon,Lat,Short Name,Name
15,classic,-87.57632375,41.78091096,15491,63rd St Beach
15,classic,-87.656495,41.858166,13164,Racine Ave & 18th St
15,classic,-87.71656907,41.96115408,KA1504000097,Drake Ave & Montrose Ave
15,classic,-87.669886,41.871514,13080,Hermitage Ave & Polk St
15,classic,-87.54608989,41.64850076,20215,Hegewisch Metra Station
11,classic,-87.61585326,41.79342946,KA1503000073,MLK Jr Dr & 56th St
15,classic,-87.6722,41.899181,657,Wood St & Augusta Blvd
15,classic,-87.661535,41.857556,13135,Blue Island Ave & 18th St
15,classic,-87.69049224,42.0085944,RP-005,Western Ave & Lunt Ave
15,classic,-87.677296,41.952372,23002,Lincoln Ave & Byron St
11,classic,-87.67414391,41.78586107,561,Damen Ave & 59th St
15,classic,-87.67066777,41.94335025,chargingstx5,Lincoln Ave & Roscoe St*
19,classic,-87.67279744,41.92105673,TA1307000138,Wood St & Webster Ave
15,classic,-87.540696,41.651799,20214,Avenue O & 134th St
15,classic,-87.64301956,41.71971218,20105,Halsted St & 96th St
19,classic,-87.654691,41.969517,TA1309000041,Sheridan Rd & Lawrence Ave
15,classic,-87.67436712,42.01256012,RP-007,Clark St & Touhy Ave
11,classic,-87.749594,41.954468,16991,Milwaukee Ave & Cuyler Ave
15,classic,-87.65621066,41.83068856,15446,Racine Ave & 35th St
15,classic,-87.6675239,41.7282338,20103,Prospect Sq & 91st St
15,classic,-87.6059702,41.78053094,KA1503000054,Cottage Grove Ave & 63rd St
19,classic,-87.66856492,41.97803062,KA1504000146,Clark St & Berwyn Ave
15,classic,-87.707322,41.921525,13292,Kedzie Ave & Palmer Ct
11,classic,-87.57714283,41.77351755,KA1503000030,Jeffery Blvd & 67th St
19,classic,-87.66717,41.88592,13073,Ashland Ave & Lake St
11,classic,-87.586005,41.746559,583,Stony Island Ave & 82nd St
15,classic,-87.65841007,41.74148653,20121,Loomis Blvd & 84th St
23,classic,-87.677409,41.901315,TA1307000070,Damen Ave & Thomas St (Augusta Blvd)
19,classic,-87.590368,41.802562,13398,Blackstone Ave & Hyde Park Blvd
15,classic,-87.71183067,41.96835449,15615,Christiana Ave & Lawrence Ave
31,classic,-87.638181,41.963982,TA1308000012,Montrose Harbor
31,classic,-87.599861,41.791478,KA1503000071,University Ave & 57th St
11,classic,-87.774453,41.880281,16918,Austin Blvd & Madison St
15,classic,-87.71912818,41.95400484,KA1504000139,Monticello Ave & Irving Park Rd
15,classic,-87.6658,41.92533,TA1307000001,Greenview Ave & Fullerton Ave
15,classic,-87.728952,41.91748,23190,Karlov Ave & Armitage Ave
11,classic,-87.62974631,41.78007963,KA1503000025,Wentworth Ave & 63rd St
23,classic,-87.66394,41.94815,13235,Southport Ave & Waveland Ave
15,classic,-87.669435,41.9406,TA1309000042,Lincoln Ave & Melrose St
11,classic,-87.61691792,41.76550801,15599,Calumet Ave & 71st St
11,classic,-87.755337,41.880207,540,Laramie Ave & Madison St
15,classic,-87.59700515,41.81409271,KA1503000065,Woodlawn Ave & Lake Park Ave
15,classic,-87.666611,41.891072,13434,Ashland Ave & Grand Ave
11,classic,-87.644874,41.787539,593,Halsted St & 59th St
20,classic,-87.65228927,41.88549171,chargingstx4,Morgan St & Lake St*
15,classic,-87.618034,41.831379,13345,Calumet Ave & 35th St
23,classic,-87.673935,41.903119,TA1305000034,Honore St & Division St
23,classic,-87.650154,41.9716,KA1504000171,Marine Dr & Ainslie St
15,classic,-87.6228544,41.7218499,20104,State St & 95th St
19,classic,-87.67393,41.95469,TA1307000149,Ravenswood Ave & Irving Park Rd
19,classic,-87.662007,41.877945,13206,Loomis St & Jackson Blvd
15,classic,-87.66972363,41.99086045,KA1504000148,Clark St & Elmdale Ave
31,classic,-87.61861682,41.89084704,TA1306000013,New St & Illinois St
11,classic,-87.64572,41.827059,TA1307000161,Halsted St & 37th St
15,classic,-87.666058,42.012701,525,Glenwood Ave & Touhy Ave
31,classic,-87.653833,41.928712,TA1309000023,Sheffield Ave & Wrightwood Ave
15,classic,-87.672069,41.895634,637,Wood St & Chicago Ave
27,classic,-87.629318,41.893992,13045,Dearborn St & Erie St
