num_bikes_available,station_id,num_docks_available,num_bikes_disabled,num_scooters_unavailable,is_renting,is_installed,is_returning,num_ebikes_available,num_docks_disabled,num_scooters_available,timestamp,n_classic,n_electric,n_scooters
0,430d5876-c44d-446e-ac53-065da9fb9c17,9,1,0.0,1,1,1,0,0,0.0,07/27/2024 01:09 AM,0,0,0
4,a3af8123-a135-11e9-9cda-0a87ae2ba916,9,1,0.0,1,1,1,2,0,1.0,07/27/2024 01:09 AM,2,2,0
1,a3b222fc-a135-11e9-9cda-0a87ae2ba916,9,1,0.0,1,1,1,1,0,0.0,07/27/2024 01:09 AM,0,1,0
4,1882466626513795782,7,3,0.0,1,1,1,1,0,0.0,07/27/2024 01:09 AM,3,1,0
8,a3ad4d1b-a135-11e9-9cda-0a87ae2ba916,7,0,0.0,1,1,1,0,0,0.0,07/27/2024 01:10 AM,8,0,0
11,a3a614ad-a135-11e9-9cda-0a87ae2ba916,13,3,1.0,1,1,1,2,0,2.0,07/27/2024 01:10 AM,9,2,2
11,a3a5d3bb-a135-11e9-9cda-0a87ae2ba916,3,0,0.0,1,1,1,4,0,1.0,07/27/2024 01:10 AM,7,4,1
11,a3a5de24-a135-11e9-9cda-0a87ae2ba916,2,2,0.0,1,1,1,4,0,0.0,07/27/2024 01:10 AM,7,4,0
1,a3ac35ed-a135-11e9-9cda-0a87ae2ba916,0,0,0.0,0,1,0,1,10,0.0,07/27/2024 01:10 AM,0,0,0
3,a3a9f76a-a135-11e9-9cda-0a87ae2ba916,12,0,0.0,1,1,1,0,0,0.0,07/27/2024 01:10 AM,3,0,0
1,a3b24701-a135-11e9-9cda-0a87ae2ba916,8,2,0.0,1,1,1,1,0,0.0,07/27/2024 01:10 AM,0,1,0
30,1862806445904101456,3,6,0.0,1,1,1,3,0,0.0,07/27/2024 01:10 AM,27,3,0
5,1934289361049585738,6,0,0.0,1,1,1,1,0,4.0,07/27/2024 01:10 AM,4,1,0
10,a3a3e67b-a135-11e9-9cda-0a87ae2ba916,15,2,0.0,1,1,1,0,0,3.0,07/27/2024 01:10 AM,10,0,3
6,1928792940289520096,8,0,0.0,1,1,1,3,0,1.0,07/27/2024 01:10 AM,3,3,0
1,a3b148bf-a135-11e9-9cda-0a87ae2ba916,9,1,0.0,1,1,1,1,0,0.0,07/27/2024 01:10 AM,0,1,0
4,e63300bd-4ca3-4255-adfd-522289d68b8a,9,2,0.0,1,1,1,1,0,0.0,07/27/2024 01:10 AM,3,1,0
16,a3a3a282-a135-11e9-9cda-0a87ae2ba916,19,0,0.0,1,1,1,4,0,0.0,07/27/2024 01:10 AM,12,4,0
4,1943245395846580390,10,0,0.0,1,1,1,0,0,0.0,07/27/2024 01:10 AM,4,0,0
5,1963672425916463636,10,0,0.0,1,1,1,0,0,0.0,07/27/2024 01:10 AM,5,0,0
8,a3a82c6c-a135-11e9-9cda-0a87ae2ba916,11,3,0.0,1,1,1,1,0,1.0,07/27/2024 01:10 AM,7,1,0
1,a3b2862e-a135-11e9-9cda-0a87ae2ba916,7,3,0.0,1,1,1,0,0,0.0,07/27/2024 01:10 AM,1,0,0
1,1967727360320698512,10,0,0.0,1,1,1,1,0,4.0,07/27/2024 01:10 AM,0,1,0
7,a3a76cb6-a135-11e9-9cda-0a87ae2ba916,4,1,0.0,1,1,1,4,0,3.0,07/27/2024 01:10 AM,3,4,0
15,a3a80512-a135-11e9-9cda-0a87ae2ba916,3,0,0.0,1,1,1,1,0,0.0,07/27/2024 01:10 AM,14,1,0
3,a3b11480-a135-11e9-9cda-0a87ae2ba916,8,0,0.0,1,1,1,0,0,0.0,07/27/2024 01:10 AM,3,0,0
8,1936552461714393094,7,0,0.0,1,1,1,2,0,0.0,07/27/2024 01:10 AM,6,2,0
4,90011328-f7bd-4b7b-8f95-8204a0b50f27,4,2,1.0,1,1,1,0,0,0.0,07/27/2024 01:10 AM,4,0,0
4,a3a5f5e6-a135-11e9-9cda-0a87ae2ba916,6,1,0.0,1,1,1,3,0,0.0,07/27/2024 01:10 AM,1,3,0
5,1934288718318207280,6,2,0.0,1,1,1,3,0,2.0,07/27/2024 01:10 AM,2,3,0
5,a21de1a5-f5bc-4b50-8a13-aa28b7dcfa95,10,0,0.0,1,1,1,0,0,0.0,07/27/2024 01:10 AM,5,0,0
10,a3aabad8-a135-11e9-9cda-0a87ae2ba916,4,2,0.0,1,1,1,2,0,3.0,07/27/2024 01:10 AM,8,2,0
0,a3a75d8a-a135-11e9-9cda-0a87ae2ba916,13,7,0.0,1,1,1,0,0,0.0,07/27/2024 01:10 AM,0,0,0
2,a3ac1607-a135-11e9-9cda-0a87ae2ba916,12,0,0.0,1,1,1,1,0,1.0,07/27/2024 01:10 AM,1,1,1
5,1958859639339458778,7,2,0.0,1,1,1,0,0,1.0,07/27/2024 01:10 AM,5,0,0
4,a3afbe2e-a135-11e9-9cda-0a87ae2ba916,10,0,1.0,1,1,1,0,0,0.0,07/27/2024 01:10 AM,4,0,0
8,a3ac7444-a135-11e9-9cda-0a87ae2ba916,7,0,0.0,1,1,1,0,0,0.0,07/27/2024 01:10 AM,8,0,0
4,a3b29fae-a135-11e9-9cda-0a87ae2ba916,6,1,0.0,1,1,1,1,0,0.0,07/27/2024 01:10 AM,3,1,0
12,a3af2c5f-a135-11e9-9cda-0a87ae2ba916,7,0,0.0,1,1,1,9,0,0.0,07/27/2024 01:10 AM,3,9,0
8,a3a62aad-a135-11e9-9cda-0a87ae2ba916,9,0,0.0,1,1,1,0,0,2.0,07/27/2024 01:10 AM,8,0,2
4,a3acea44-a135-11e9-9cda-0a87ae2ba916,7,0,0.0,1,1,1,3,0,0.0,07/27/2024 01:10 AM,1,3,0
3,a3a528d0-a135-11e9-9cda-0a87ae2ba916,4,4,0.0,1,1,1,0,0,0.0,07/27/2024 01:10 AM,3,0,0
6,a3ac30c5-a135-11e9-9cda-0a87ae2ba916,9,0,0.0,1,1,1,0,0,0.0,07/27/2024 01:10 AM,6,0,0
1,da9e6779-5056-4d45-bae3-9dc325ed2807,9,1,0.0,1,1,1,0,0,0.0,07/27/2024 01:10 AM,1,0,0
2,a3a72012-a135-11e9-9cda-0a87ae2ba916,6,2,0.0,1,1,1,0,0,1.0,07/27/2024 01:10 AM,2,0,1
2,a3a965b2-a135-11e9-9cda-0a87ae2ba916,13,0,0.0,1,1,1,0,0,0.0,07/27/2024 01:10 AM,2,0,0
1,a3b2905a-a135-11e9-9cda-0a87ae2ba916,9,1,0.0,1,1,1,0,0,0.0,07/27/2024 01:10 AM,1,0,0
3,a3ac7e9a-a135-11e9-9cda-0a87ae2ba916,8,3,0.0,1,1,1,0,0,1.0,07/27/2024 01:10 AM,3,0,1
3,a3aa8ca0-a135-11e9-9cda-0a87ae2ba916,8,3,0.0,1,1,1,1,0,1.0,07/27/2024 01:10 AM,2,1,0
4,a3a795d7-a135-11e9-9cda-0a87ae2ba916,15,0,0.0,1,1,1,0,0,0.0,07/27/2024 01:10 AM,4,0,0
3,a3ad13e4-a135-11e9-9cda-0a87ae2ba916,7,0,0.0,1,1,1,0,0,1.0,07/27/2024 01:10 AM,3,0,1
3,1929883678185797908,5,4,0.0,1,1,1,3,0,3.0,07/27/2024 01:10 AM,0,3,0
7,759171ce-f355-4740-948d-e14bb8f7dc0e,8,0,0.0,1,1,1,4,0,0.0,07/27/2024 01:10 AM,3,4,0
3,a3b10a40-a135-11e9-9cda-0a87ae2ba916,8,0,0.0,1,1,1,0,0,0.0,07/27/2024 01:10 AM,3,0,0
13,a3a99d47-a135-11e9-9cda-0a87ae2ba916,8,1,0.0,1,1,1,2,0,1.0,07/27/2024 01:10 AM,11,2,1
5,4843d153-c725-4230-a4c7-402da6a62143,7,1,0.0,1,1,1,2,0,2.0,07/27/2024 01:10 AM,3,2,0
3,1955905507044284968,11,1,0.0,1,1,1,0,0,0.0,07/27/2024 01:10 AM,3,0,0
7,1942117929887056608,5,3,0.0,1,1,1,3,0,0.0,07/27/2024 01:10 AM,4,3,0
6,a3a9c0f6-a135-11e9-9cda-0a87ae2ba916,3,2,0.0,1,1,1,2,0,0.0,07/27/2024 01:10 AM,4,2,0
4,a3a97a01-a135-11e9-9cda-0a87ae2ba916,7,3,0.0,1,1,1,4,0,1.0,07/27/2024 01:10 AM,0,4,1
9,1799277526470631980,0,1,0.0,1,1,1,4,0,2.0,07/27/2024 01:10 AM,5,7,0
12,a3b00b3a-a135-11e9-9cda-0a87ae2ba916,1,0,0.0,1,1,1,4,0,2.0,07/27/2024 01:10 AM,8,4,0
3,a3b481e1-a135-11e9-9cda-0a87ae2ba916,10,2,0.0,1,1,1,2,0,0.0,07/27/2024 01:10 AM,1,2,0
6,a3a9c5f7-a135-11e9-9cda-0a87ae2ba916,0,0,0.0,1,1,1,5,0,1.0,07/27/2024 01:10 AM,1,5,0
4,a3b4399a-a135-11e9-9cda-0a87ae2ba916,11,0,0.0,1,1,1,0,0,0.0,07/27/2024 01:10 AM,4,0,0
4,a3af5d1c-a135-11e9-9cda-0a87ae2ba916,9,1,0.0,1,1,1,1,0,1.0,07/27/2024 01:10 AM,3,1,0
8,a3ae87fa-a135-11e9-9cda-0a87ae2ba916,13,2,0.0,1,1,1,1,0,0.0,07/27/2024 01:10 AM,7,1,0
6,1938034236347042306,2,7,0.0,1,1,1,1,0,0.0,07/27/2024 01:10 AM,5,1,0
3,a60781db-2bec-4a15-a4a2-363297aefcec,11,1,0.0,1,1,1,1,0,0.0,07/27/2024 01:10 AM,2,1,0
4,a3b1c47b-a135-11e9-9cda-0a87ae2ba916,6,1,0.0,1,1,1,0,0,0.0,07/27/2024 01:10 AM,4,0,0
5,a3b47cbc-a135-11e9-9cda-0a87ae2ba916,7,0,0.0,1,1,1,3,0,3.0,07/27/2024 01:10 AM,2,3,3
3,a3afd7ab-a135-11e9-9cda-0a87ae2ba916,10,1,0.0,1,1,1,1,0,0.0,07/27/2024 01:10 AM,2,1,0
4,a3addda0-a135-11e9-9cda-0a87ae2ba916,7,0,0.0,1,1,1,2,0,0.0,07/27/2024 01:10 AM,2,2,0
7,a3a3ace6-a135-11e9-9cda-0a87ae2ba916,1,2,0.0,1,1,1,1,0,4.0,07/27/2024 01:10 AM,6,1,4
4,a3b2d2b7-a135-11e9-9cda-0a87ae2ba916,6,1,0.0,1,1,1,0,0,0.0,07/27/2024 01:10 AM,4,0,0
13,a3a854bf-a135-11e9-9cda-0a87ae2ba916,0,1,0.0,1,1,1,3,0,1.0,07/27/2024 01:10 AM,10,3,1
7,a3a62566-a135-11e9-9cda-0a87ae2ba916,9,1,0.0,1,1,1,0,0,2.0,07/27/2024 01:10 AM,7,0,2
9,a3b2c87c-a135-11e9-9cda-0a87ae2ba916,5,1,0.0,1,1,1,3,0,0.0,07/27/2024 01:10 AM,6,3,0
4,1850868044363584392,10,1,0.0,1,1,1,0,0,0.0,07/27/2024 01:10 AM,4,0,0
2,a3ab86b6-a135-11e9-9cda-0a87ae2ba916,19,2,0.0,1,1,1,0,0,0.0,07/27/2024 01:10 AM,2,0,0
9,a3a6c38e-a135-11e9-9cda-0a87ae2ba916,5,4,0.0,1,1,1,0,0,0.0,07/27/2024 01:10 AM,9,0,0
3,a3a9b1d7-a135-11e9-9cda-0a87ae2ba916,7,2,0.0,1,1,1,0,0,3.0,07/27/2024 01:10 AM,3,0,3
1,1943244520961310788,11,1,0.0,1,1,1,1,0,2.0,07/27/2024 01:10 AM,0,1,0
5,1850866657089146912,14,0,0.0,1,1,1,1,0,0.0,07/27/2024 01:10 AM,4,1,0
4,1969221526359528022,15,0,0.0,1,1,1,1,0,0.0,07/27/2024 01:10 AM,3,1,0
4,1936582560225114270,8,3,0.0,1,1,1,0,0,0.0,07/27/2024 01:10 AM,4,0,0
2,1966307477149012058,4,1,0.0,1,1,1,0,0,4.0,07/27/2024 01:10 AM,2,0,0
4,1969236968943731106,11,0,0.0,1,1,1,2,0,0.0,07/27/2024 01:10 AM,2,2,0
4,a3a7f0ba-a135-11e9-9cda-0a87ae2ba916,10,1,0.0,1,1,1,1,0,0.0,07/27/2024 01:10 AM,3,1,0
9,a3afd294-a135-11e9-9cda-0a87ae2ba916,5,1,0.0,1,1,1,3,0,0.0,07/27/2024 01:10 AM,6,3,0
2,a3b2d7d9-a135-11e9-9cda-0a87ae2ba916,7,2,0.0,1,1,1,0,0,0.0,07/27/2024 01:10 AM,2,0,0
0,a3ad8072-a135-11e9-9cda-0a87ae2ba916,31,0,,1,1,1,0,0,,07/27/2024 01:10 AM,0,0,0
11,1871993715238611622,1,0,0.0,1,1,1,2,0,3.0,07/27/2024 01:10 AM,9,2,0
20,a3a4ac3f-a135-11e9-9cda-0a87ae2ba916,5,1,0.0,1,1,1,0,0,1.0,07/27/2024 01:10 AM,20,0,0
2,a3b23cb8-a135-11e9-9cda-0a87ae2ba916,7,2,0.0,1,1,1,0,0,0.0,07/27/2024 01:10 AM,2,0,0
19,a3aa35a4-a135-11e9-9cda-0a87ae2ba916,12,0,0.0,1,1,1,0,0,0.0,07/27/2024 01:10 AM,19,0,0
10,a3a497b6-a135-11e9-9cda-0a87ae2ba916,7,0,0.0,1,1,1,1,0,3.0,07/27/2024 01:10 AM,9,1,1
3,a3b13836-a135-11e9-9cda-0a87ae2ba916,7,1,0.0,1,1,1,0,0,0.0,07/27/2024 01:10 AM,3,0,0
3,a3ab9119-a135-11e9-9cda-0a87ae2ba916,42,1,0.0,1,1,1,0,0,1.0,07/27/2024 01:10 AM,3,0,0
8,a3a41004-a135-11e9-9cda-0a87ae2ba916,2,3,0.0,1,1,1,0,0,1.0,07/27/2024 01:10 AM,8,0,0
2,1945195957167804800,13,0,0.0,1,1,1,0,0,0.0,07/27/2024 01:10 AM,2,0,0
2,1963673207600511026,12,1,0.0,1,1,1,0,0,0.0,07/27/2024 01:10 AM,2,0,0
8,732c9f35-0c82-4128-acc3-2cf447298b1d,7,0,0.0,1,1,1,0,0,0.0,07/27/2024 01:10 AM,8,0,0
1,1933998036428004326,14,0,0.0,1,1,1,0,0,0.0,07/27/2024 01:10 AM,1,0,0
0,1970688521031469268,15,0,,1,1,1,0,0,,07/27/2024 01:10 AM,0,0,0
6,1934289130932983934,8,1,0.0,1,1,1,1,0,0.0,07/27/2024 01:10 AM,5,1,0
5,a3b26acf-a135-11e9-9cda-0a87ae2ba916,2,4,0.0,1,1,1,1,0,0.0,07/27/2024 01:09 AM,4,1,0
15,a3a88f84-a135-11e9-9cda-0a87ae2ba916,0,4,0.0,1,1,1,2,0,0.0,07/27/2024 01:09 AM,13,2,0
9,a3aca790-a135-11e9-9cda-0a87ae2ba916,15,0,0.0,1,1,1,4,0,2.0,07/27/2024 01:09 AM,5,4,0
6,a3b21de7-a135-11e9-9cda-0a87ae2ba916,3,2,0.0,1,1,1,0,0,0.0,07/27/2024 01:09 AM,6,0,0
9,1926982189560422428,6,0,0.0,1,1,1,3,0,0.0,07/27/2024 01:09 AM,6,3,0
1,a3aca268-a135-11e9-9cda-0a87ae2ba916,10,0,0.0,1,1,1,0,0,0.0,07/27/2024 01:09 AM,1,0,0
4,a3b0eb93-a135-11e9-9cda-0a87ae2ba916,6,1,0.0,1,1,1,0,0,0.0,07/27/2024 01:09 AM,4,0,0
2,1943240055911940522,12,1,0.0,1,1,1,1,0,0.0,07/27/2024 01:09 AM,1,1,0
3,a3b1efd6-a135-11e9-9cda-0a87ae2ba916,7,0,0.0,1,1,1,3,0,1.0,07/27/2024 01:09 AM,0,3,0
4,1936582264492460636,9,2,0.0,1,1,1,2,0,0.0,07/27/2024 01:09 AM,2,2,0
0,a3a42574-a135-11e9-9cda-0a87ae2ba916,34,1,0.0,1,1,1,0,0,0.0,07/27/2024 01:09 AM,0,0,0
7,a3ac7978-a135-11e9-9cda-0a87ae2ba916,1,2,0.0,1,1,1,3,0,1.0,07/27/2024 01:09 AM,4,3,1
5,8fd03909-317e-4b6c-b8e9-f4c28b4c90b1,9,1,0.0,1,1,1,1,0,0.0,07/27/2024 01:09 AM,4,1,0
14,a3a4f993-a135-11e9-9cda-0a87ae2ba916,1,0,0.0,1,1,1,3,0,4.0,07/27/2024 01:09 AM,11,3,4
3,c1f104db-9ee7-4999-bd4a-ddd766c75e04,7,1,0.0,1,1,1,1,0,0.0,07/27/2024 01:09 AM,2,1,0
5,1861613253877461614,8,2,0.0,1,1,1,0,0,0.0,07/27/2024 01:09 AM,5,0,0
4,c4040b17-88bd-40ab-9aae-2655d6771580,11,0,0.0,1,1,1,0,0,0.0,07/27/2024 01:09 AM,4,0,0
4,1870208802121658482,11,0,0.0,1,1,1,0,0,0.0,07/27/2024 01:09 AM,4,0,0
6,1872721624592814362,3,6,0.0,1,1,1,4,0,0.0,07/27/2024 01:09 AM,2,4,0
6,a3b1ff34-a135-11e9-9cda-0a87ae2ba916,4,1,0.0,1,1,1,0,0,0.0,07/27/2024 01:09 AM,6,0,0
13,a3a3eb9a-a135-11e9-9cda-0a87ae2ba916,5,1,0.0,1,1,1,2,0,0.0,07/27/2024 01:09 AM,11,2,0
8,1929121088624564460,6,1,0.0,1,1,1,4,0,0.0,07/27/2024 01:09 AM,4,4,0
7,b43a9764-2b1d-4fa0-a13f-7e05eddc7fcd,15,1,0.0,1,1,1,0,0,0.0,07/27/2024 01:09 AM,7,0,0
9,a3ac2671-a135-11e9-9cda-0a87ae2ba916,3,2,0.0,1,1,1,1,0,1.0,07/27/2024 01:09 AM,8,1,0
13,a3a5a48b-a135-11e9-9cda-0a87ae2ba916,6,0,0.0,1,1,1,0,0,0.0,07/27/2024 01:09 AM,13,0,0
9,a3b00055-a135-11e9-9cda-0a87ae2ba916,4,1,0.0,1,1,1,5,0,1.0,07/27/2024 01:09 AM,4,5,0
5,a3b35885-a135-11e9-9cda-0a87ae2ba916,5,0,0.0,1,1,1,3,0,1.0,07/27/2024 01:09 AM,2,3,0
12,a3aab5c1-a135-11e9-9cda-0a87ae2ba916,4,2,0.0,1,1,1,4,0,1.0,07/27/2024 01:09 AM,8,4,0
