num_ebikes_available,num_docks_disabled,is_installed,num_bikes_disabled,is_returning,station_id,num_docks_available,num_scooters_unavailable,num_scooters_available,is_renting,num_bikes_available,timestamp,n_classic,n_electric,n_scooters
4,0,1,1,1,a3ad13e4-a135-11e9-9cda-0a87ae2ba916,1,0.0,0.0,1,9,06/20/2024 10:09 PM,5,4,0
1,0,1,0,1,a3a96aca-a135-11e9-9cda-0a87ae2ba916,10,0.0,0.0,1,1,06/20/2024 10:09 PM,0,1,0
0,0,1,1,1,da9e6779-5056-4d45-bae3-9dc325ed2807,2,0.0,0.0,1,8,06/20/2024 10:09 PM,8,0,0
0,0,1,4,1,a3a8804b-a135-11e9-9cda-0a87ae2ba916,10,0.0,4.0,1,1,06/20/2024 10:09 PM,1,0,0
0,0,1,1,1,a3b1fa1c-a135-11e9-9cda-0a87ae2ba916,6,0.0,0.0,1,4,06/20/2024 10:08 PM,4,0,0
3,0,1,1,1,a3a75885-a135-11e9-9cda-0a87ae2ba916,13,0.0,1.0,1,8,06/20/2024 10:08 PM,5,3,1
2,0,1,0,1,a3a5f5e6-a135-11e9-9cda-0a87ae2ba916,4,0.0,0.0,1,7,06/20/2024 10:08 PM,5,2,0
3,0,1,2,1,a3af8123-a135-11e9-9cda-0a87ae2ba916,7,0.0,1.0,1,6,06/20/2024 10:08 PM,3,3,0
0,0,1,5,1,a3ab9119-a135-11e9-9cda-0a87ae2ba916,37,0.0,3.0,1,2,06/20/2024 10:08 PM,2,0,0
2,0,1,1,1,a3b2d7d9-a135-11e9-9cda-0a87ae2ba916,4,0.0,0.0,1,6,06/20/2024 10:08 PM,4,2,0
3,0,1,1,1,759171ce-f355-4740-948d-e14bb8f7dc0e,6,0.0,0.0,1,8,06/20/2024 10:08 PM,5,3,0
2,0,1,6,1,a3a3b731-a135-11e9-9cda-0a87ae2ba916,4,0.0,2.0,1,11,06/20/2024 10:08 PM,9,2,2
0,0,1,3,1,a3a72012-a135-11e9-9cda-0a87ae2ba916,1,0.0,0.0,1,7,06/20/2024 10:08 PM,8,0,0
1,0,1,0,1,a3b3634c-a135-11e9-9cda-0a87ae2ba916,9,0.0,0.0,1,6,06/20/2024 10:08 PM,5,1,0
0,0,1,4,1,90011328-f7bd-4b7b-8f95-8204a0b50f27,2,0.0,1.0,1,5,06/20/2024 10:08 PM,5,0,0
0,0,1,3,1,1933998036428004326,4,0.0,0.0,1,8,06/20/2024 10:08 PM,8,0,0
1,0,1,6,1,a3a5700b-a135-11e9-9cda-0a87ae2ba916,7,1.0,1.0,1,12,06/20/2024 10:08 PM,11,1,1
5,0,1,1,1,a3b2be3a-a135-11e9-9cda-0a87ae2ba916,2,0.0,0.0,1,8,06/20/2024 10:08 PM,3,5,0
0,0,1,3,1,a3ad8072-a135-11e9-9cda-0a87ae2ba916,27,0.0,0.0,1,1,06/20/2024 10:08 PM,1,0,0
0,0,1,0,1,a3b2d2b7-a135-11e9-9cda-0a87ae2ba916,5,0.0,0.0,1,6,06/20/2024 10:08 PM,6,0,0
0,0,1,6,1,a3ae87fa-a135-11e9-9cda-0a87ae2ba916,10,0.0,2.0,1,5,06/20/2024 10:08 PM,5,0,0
2,0,1,1,1,1850866657089146912,2,0.0,1.0,1,15,06/20/2024 10:08 PM,13,2,0
0,0,1,0,1,a3b3915a-a135-11e9-9cda-0a87ae2ba916,1,0.0,8.0,1,10,06/20/2024 10:08 PM,10,0,8
5,0,1,0,1,a3a5d3bb-a135-11e9-9cda-0a87ae2ba916,1,0.0,0.0,1,13,06/20/2024 10:08 PM,8,5,0
0,0,1,2,1,1934290380966283526,3,0.0,0.0,1,10,06/20/2024 10:08 PM,10,0,0
0,0,1,1,1,ff21c158-de98-46c6-9ef7-7082bdb7c634,7,0.0,0.0,1,7,06/20/2024 10:08 PM,7,0,0
10,0,1,0,1,1928792940289520096,1,0.0,2.0,1,12,06/20/2024 10:08 PM,2,10,0
1,1,1,1,1,94788869-1849-43f6-99e1-2eacbc3fab03,10,0.0,1.0,1,4,06/20/2024 10:08 PM,3,1,0
0,0,1,0,1,a3b29fae-a135-11e9-9cda-0a87ae2ba916,7,0.0,0.0,1,4,06/20/2024 10:08 PM,4,0,0
9,0,1,0,1,a3b477ac-a135-11e9-9cda-0a87ae2ba916,2,0.0,0.0,1,13,06/20/2024 10:08 PM,4,9,0
8,0,1,0,1,1955905507044284968,7,0.0,0.0,1,8,06/20/2024 10:08 PM,0,8,0
