num_bikes_disabled,is_renting,num_docks_disabled,num_ebikes_available,is_returning,station_id,num_bikes_available,num_docks_available,is_installed,num_scooters_available,num_scooters_unavailable,timestamp,n_classic,n_electric,n_scooters
2,1,0,0,1,e63300bd-4ca3-4255-adfd-522289d68b8a,5,8,1,0.0,0.0,07/05/2024 02:07 AM,5,0,0
0,1,0,1,1,a3ad8072-a135-11e9-9cda-0a87ae2ba916,2,28,1,1.0,0.0,07/05/2024 02:07 AM,1,1,0
0,1,0,3,1,a3a9c0f6-a135-11e9-9cda-0a87ae2ba916,11,0,1,0.0,0.0,07/05/2024 02:07 AM,8,3,0
0,1,0,1,1,a3af2c5f-a135-11e9-9cda-0a87ae2ba916,16,1,1,2.0,0.0,07/05/2024 02:07 AM,15,1,0
1,1,0,3,1,a3b419d9-a135-11e9-9cda-0a87ae2ba916,6,4,1,4.0,0.0,07/05/2024 02:07 AM,3,3,4
0,1,0,7,1,a3b4399a-a135-11e9-9cda-0a87ae2ba916,9,6,1,0.0,0.0,07/05/2024 02:08 AM,2,7,0
1,1,0,10,1,a3a80512-a135-11e9-9cda-0a87ae2ba916,15,3,1,0.0,0.0,07/05/2024 02:07 AM,5,10,0
1,1,0,1,1,a3a62566-a135-11e9-9cda-0a87ae2ba916,5,11,1,2.0,0.0,07/05/2024 02:07 AM,4,1,2
1,1,0,12,1,1942117929887056608,14,0,1,0.0,0.0,07/05/2024 02:07 AM,2,12,0
0,1,0,0,1,a3a497b6-a135-11e9-9cda-0a87ae2ba916,1,17,1,1.0,0.0,07/05/2024 02:07 AM,1,0,1
1,1,0,1,1,a3ad4d1b-a135-11e9-9cda-0a87ae2ba916,12,2,1,0.0,0.0,07/05/2024 02:07 AM,11,1,0
0,1,0,1,1,a3ac35ed-a135-11e9-9cda-0a87ae2ba916,8,3,1,0.0,0.0,07/05/2024 02:07 AM,7,1,0
0,1,0,3,1,a3a9b1d7-a135-11e9-9cda-0a87ae2ba916,10,5,1,0.0,0.0,07/05/2024 02:08 AM,7,3,0
3,1,0,1,1,a3a3a282-a135-11e9-9cda-0a87ae2ba916,14,16,1,2.0,0.0,07/05/2024 02:08 AM,13,1,0
0,1,0,1,1,a3a62fc9-a135-11e9-9cda-0a87ae2ba916,10,5,1,0.0,0.0,07/05/2024 02:08 AM,9,1,0
4,1,0,1,1,a3a528d0-a135-11e9-9cda-0a87ae2ba916,4,3,1,0.0,0.0,07/05/2024 02:08 AM,3,1,0
0,1,0,2,1,a3b22d3d-a135-11e9-9cda-0a87ae2ba916,7,4,1,0.0,0.0,07/05/2024 02:08 AM,5,2,0
2,1,0,1,1,a3aa4017-a135-11e9-9cda-0a87ae2ba916,5,5,1,3.0,0.0,07/05/2024 02:08 AM,4,1,0
7,1,0,0,1,a3acdae2-a135-11e9-9cda-0a87ae2ba916,2,2,1,0.0,0.0,07/05/2024 02:08 AM,2,0,0
1,1,0,0,1,a3b2862e-a135-11e9-9cda-0a87ae2ba916,7,3,1,0.0,0.0,07/05/2024 02:08 AM,7,0,0
0,1,0,4,1,a3b01a86-a135-11e9-9cda-0a87ae2ba916,10,4,1,1.0,0.0,07/05/2024 02:08 AM,6,4,0
0,1,0,3,1,a3ac1607-a135-11e9-9cda-0a87ae2ba916,9,5,1,1.0,0.0,07/05/2024 02:08 AM,6,3,1
1,1,0,2,1,1945195957167804800,11,3,1,0.0,0.0,07/05/2024 02:08 AM,9,2,0
0,1,0,1,1,a3b13e66-a135-11e9-9cda-0a87ae2ba916,8,3,1,0.0,0.0,07/05/2024 02:08 AM,7,1,0
0,1,0,0,1,1929967657204564894,7,8,1,0.0,0.0,07/05/2024 02:08 AM,7,0,0
0,1,0,5,1,a3afb401-a135-11e9-9cda-0a87ae2ba916,7,8,1,0.0,0.0,07/05/2024 02:08 AM,2,5,0
0,1,0,0,1,a3a565b1-a135-11e9-9cda-0a87ae2ba916,0,12,1,7.0,0.0,07/05/2024 02:08 AM,0,0,7
3,1,0,3,1,a21de1a5-f5bc-4b50-8a13-aa28b7dcfa95,11,1,1,0.0,0.0,07/05/2024 02:08 AM,8,3,0
1,1,0,0,1,1871993715238611622,10,0,1,4.0,0.0,07/05/2024 02:08 AM,10,0,0
0,1,0,8,1,1955905507044284968,10,5,1,0.0,0.0,07/05/2024 02:08 AM,2,8,0
0,1,0,0,1,a3a5f5e6-a135-11e9-9cda-0a87ae2ba916,0,7,1,4.0,0.0,07/05/2024 02:08 AM,0,0,4
1,1,0,3,1,a3b1c47b-a135-11e9-9cda-0a87ae2ba916,6,4,1,0.0,0.0,07/05/2024 02:08 AM,3,3,0
0,1,0,0,1,a3ac30c5-a135-11e9-9cda-0a87ae2ba916,11,3,1,1.0,0.0,07/05/2024 02:08 AM,11,0,0
3,1,0,8,1,a3af5d1c-a135-11e9-9cda-0a87ae2ba916,12,0,1,0.0,0.0,07/05/2024 02:08 AM,4,8,0
0,1,0,6,1,a3b00b3a-a135-11e9-9cda-0a87ae2ba916,9,4,1,2.0,0.0,07/05/2024 02:08 AM,3,6,0
1,1,0,2,1,759171ce-f355-4740-948d-e14bb8f7dc0e,8,6,1,0.0,0.0,07/05/2024 02:08 AM,6,2,0
0,1,0,2,1,a3a854bf-a135-11e9-9cda-0a87ae2ba916,12,1,1,2.0,0.0,07/05/2024 02:08 AM,10,2,2
2,1,0,2,1,a3acb1de-a135-11e9-9cda-0a87ae2ba916,3,6,1,0.0,0.0,07/05/2024 02:08 AM,1,2,0
7,1,0,2,1,a3a8804b-a135-11e9-9cda-0a87ae2ba916,7,5,1,0.0,0.0,07/05/2024 02:08 AM,5,2,0
0,1,0,0,1,a3aae35a-a135-11e9-9cda-0a87ae2ba916,5,8,1,2.0,0.0,07/05/2024 02:08 AM,5,0,2
0,1,0,0,1,a3a3b731-a135-11e9-9cda-0a87ae2ba916,15,8,1,0.0,0.0,07/05/2024 02:08 AM,15,0,0
1,1,0,0,1,1871992980799203880,6,8,1,0.0,0.0,07/05/2024 02:08 AM,6,0,0
